Feb 2025,,,,Money to Assign,,-$61.07,,,
CATEGORY,ASSIGNED,ACTIVITY,AVAILABLE,,DATE,TARGET,,Total Income,
Bills,"$2,465.49","$2,465.49",$0.00,,,,,"$9,485.02",
Liana Therapy,,,,,30th,$20.00,Income #1,1659.16,William #1
Liana Dental Insurance,$17.44,$17.44,$0.00,,30th,$35.53,Income #2,5000,refund from school
Spotify,$18.18,$18.18,$0.00,,23rd,$18.18,Income #3,277.78,Liana #1
Cellphone,$146.00,$146.00,$0.00,,14th,$150.55,Income #4,600,Savings transfer
Liana Vision Insurance,$12.39,$12.39,$0.00,,10th,$12.39,Income #5,1659.15,William #2
Liana Apple Storage,$2.99,$2.99,$0.00,,4th,$2.99,Income #6,277.78,Liana #2
Liana Health Insurance,$434.04,$434.04,$0.00,,1st,$434.04,Income #7,11.15,Correction
William Apple Storage,$2.99,$2.99,$0.00,,19th,$2.99,Income #8,,
Life Insurance,,,,,30th,$46.12,Income #9,,
Smart Sales & Lease,$10.00,$10.00,$0.00,,15th,$10.00,,,
Peacock,$2.13,$2.13,$0.00,,17th,$2.13,,,
Car Insurance,$137.01,$137.01,$0.00,,4th,$137.01,,,
Money Lion/Balance,$11.53,$11.53,$0.00,,1st,$11.53,,,
Mortgage,"$1,124.58","$1,124.58",$0.00,,5th,"$1,124.58",,,
William Therapy/Health Coaching,$300.00,$300.00,$0.00,,1st,$150.00,,,
Amazon Prime student,$8.01,$8.01,$0.00,,23rd,$8.01,,,
Electric,$180.50,$180.50,$0.00,,15th,$145.38,,,
Internet,$57.70,$57.70,$0.00,,12th,$57.70,,,
Monthly Expenses,"$1,076.40","$1,076.40",$0.00,,,,,,
Pets,$230.26,$230.26,$0.00,,,$150.00,,,
Groceries,$473.82,$473.82,$0.00,,,$400.00,,,
Eating Out,$80.20,$80.20,$0.00,,,$60.00,,,
Transportation,$64.26,$64.26,$0.00,,,$150.00,,,
Clothes,,,,,,$20.00,,,
Personal Care,$207.86,$207.86,$0.00,,,$50.00,,,
7th Tradition,$20.00,$20.00,$0.00,,,$20.00,,,
Non-Monthly Expenses,$0.00,$0.00,$0.00,,,,,,
Credit Card Debt,,,,,,$0.00,,,
Medical Expenses,,,,,,$0.00,,,
Gifts,,,,,,$0.00,,,
Heating Oil,,,,,,$150.00,,,
Home Maintenance,,,,,,$40.00,,,
Auto Maintenance,,,,,,$40.00,,,
Goals,"$5,792.73","$5,792.73",$0.00,,,,,,
Savings,"$5,000.00","$5,000.00",$0.00,,,,,,
Baby,$792.73,$792.73,$0.00,,,,,,
,,,,,,,,,
Quality of Life,$211.47,$211.47,$0.00,,,,,,
Coffee,$69.77,$69.77,$0.00,,,$0.00,,,
Liana Spending Money + Gifts,$0.00,$0.00,$0.00,,,$40.00,,,
William Spending Money + Gifts,$40.00,$40.00,$0.00,,,$20.00,,,
William - Professional Development,$60.00,$60.00,$0.00,,,$20.00,,,
Entertainment,$41.70,$41.70,$0.00,,,$40.00,,,
,,,,,,,,,
,,Total Available,$0.00,,Total Target,"$3,569.13",,,
,,,,,,,,,
,,,,,,,"$1,913.16",,
