Oct 2025,,,,Money to Assign,,$899.64,,,
CATEGORY,ASSIGNED,ACTIVITY,AVAILABLE,,DATE,TARGET,,Total Income,
Bills,"$3,201.15","$3,201.15",$0.00,,,,,"$7,671.48",
Liana Therapy/Couples Therapy,$60.00,$60.00,$0.00,,30th,$60.00,Income #1,370.13,carryover for phone
Liana Dental Insurance,$35.53,$35.53,$0.00,,30th,$35.53,Income #2,1870.22,William #1
Spotify,$18.18,$18.18,$0.00,,23rd,$18.18,Income #3,626.26,Liana #1
Cellphone,$487.70,$487.70,$0.00,,14th,$143.53,Income #4,203.31,Website payment
Liana Vision Insurance,$12.39,$12.39,$0.00,,10th,$12.39,Income #5,1870.21,William #2
Liana Apple Storage,$2.99,$2.99,$0.00,,4th,$2.99,Income #6,18.82,Website payment
Liana Health Insurance,$361.52,$361.52,$0.00,,1st,$361.52,Income #7,8.31,Interest
William Apple Storage,$2.99,$2.99,$0.00,,19th,$2.99,Income #8,6,ATM refund
Life Insurance,$46.12,$46.12,$0.00,,30th,$46.12,Income #9,730,Liana #2
Fitness coaching/PT/Nutrition,$337.03,$337.03,$0.00,,29th,$20.87,Income #10,98,Website payment
Car Insurance,$136.51,$136.51,$0.00,,4th,$136.59,Income #11,1870.22,William #3
Money Lion/Balance,$11.53,$11.53,$0.00,,1st,$11.53,,,
Mortgage,"$1,129.28","$1,129.28",$0.00,,5th,"$1,129.28",,,
William Therapy/Health Coaching,$320.00,$320.00,$0.00,,1st,$140.00,,,
Amazon Prime student,$8.01,$8.01,$0.00,,23rd,$8.01,,,
Electric,$197.73,$197.73,$0.00,,15th,$145.38,,,
Internet,$33.64,$33.64,$0.00,,12th,$57.70,,,
Monthly Expenses,"$2,072.54","$2,072.54",$0.00,,,,,,
Pets,$545.54,$545.54,$0.00,,,$500.00,,,
Groceries,$786.14,$786.14,$0.00,,,$500.00,,,
Eating Out,$491.22,$491.22,$0.00,,,$300.00,,,
Transportation,$166.94,$166.94,$0.00,,,$300.00,,,
Clothes,$42.70,$42.70,$0.00,,,$40.00,,,
Personal Care,$40.00,$40.00,$0.00,,,$100.00,,,
7th Tradition,,,,,,$20.00,,,
Non-Monthly Expenses,"$1,001.92","$1,001.92",$0.00,,,,,,
Credit Card Debt,,,,,,$0.00,,,
Medical Expenses,$187.45,$187.45,$0.00,,,$363.59,recurring iRhythm CC pmt,136.30 (hospital bill),
Gifts,,,,,,$40.00,,,
Heating Oil,,,,,,$0.00,,,
Home Maintenance,$721.73,$721.73,$0.00,,,$40.00,,,
Auto Maintenance,$92.74,$92.74,$0.00,,,$100.00,,,
Goals,$165.80,$165.80,$0.00,,,,,,
Baby,$165.80,$165.80,$0.00,,,$40.00,,,
,,,,,,,,,
,,,,,,,,,
Quality of Life,$330.43,$330.43,$0.00,,,,,,
Coffee,$62.81,$62.81,$0.00,,,$40.00,,,
Liana Spending Money + Gifts,$80.00,$80.00,$0.00,,,$80.00,,,
William Spending Money + Gifts,$80.00,$80.00,$0.00,,,$80.00,,,
William - Professional Development,$29.30,$29.30,$0.00,,,$45.00,,,
Entertainment,$78.32,$78.32,$0.00,,,$40.00,,,
,,,,,,,,,
,,Total Available,$0.00,,Total Target,"$4,961.20",,,
,,,,,,,,,
,,,,,,,"$1,913.16",,
