Aug 2025,,,,Money to Assign,,$25.74,,,
CATEGORY,ASSIGNED,ACTIVITY,AVAILABLE,,DATE,TARGET,,Total Income,
Bills,"$2,752.20","$2,752.20",$0.00,,,,,"$4,693.59",
Liana Therapy/Couples Therapy,$160.00,$160.00,$0.00,,30th,$60.00,Income #1,1651.92,William #1
Liana Dental Insurance,$35.53,$35.53,$0.00,,30th,$35.53,Income #2,300,Liana #1
Spotify,$36.36,$36.36,$0.00,,23rd,$18.18,Income #3,138.85,transfer from savings
Cellphone,$146.28,$146.28,$0.00,,14th,$150.55,Income #4,50.65,Lowe's refund
Liana Vision Insurance,$12.39,$12.39,$0.00,,10th,$12.39,Income #5,17.95,interest
Liana Apple Storage,$2.99,$2.99,$0.00,,4th,$2.99,Income #6,1651.93,William #2
Liana Health Insurance,$361.52,$361.52,$0.00,,1st,$361.52,Income #7,2.68,correction
William Apple Storage,$2.99,$2.99,$0.00,,19th,$2.99,Income #8,37.02,uChooseRewards
Life Insurance,$46.12,$46.12,$0.00,,30th,$46.12,Income #9,342.59,Liana #2
Tempo Fit,$20.87,$20.87,$0.00,,29th,$20.87,Income #10,500,savings transfer
Car Insurance,$136.59,$136.59,$0.00,,4th,$136.59,,,
Money Lion/Balance,$1.04,$1.04,$0.00,,1st,$11.53,,,
Mortgage,"$1,129.28","$1,129.28",$0.00,,5th,"$1,129.28",,,
William Therapy/Health Coaching,$340.00,$340.00,$0.00,,1st,$140.00,,,
Amazon Prime student,$8.01,$8.01,$0.00,,23rd,$8.01,,,
Electric,$254.53,$254.53,$0.00,,15th,$145.38,,,
Internet,$57.70,$57.70,$0.00,,12th,$57.70,,,
Monthly Expenses,"$1,346.04","$1,346.04",$0.00,,,,,,
Pets,$161.95,$161.95,$0.00,,,$200.00,,,
Groceries,$613.63,$613.63,$0.00,,,$500.00,,,
Eating Out,$289.30,$289.30,$0.00,,,$200.00,,,
Transportation,$239.54,$239.54,$0.00,,,$200.00,,,
Clothes,$41.62,$41.62,$0.00,,,$40.00,,,
Personal Care,,,,,,$100.00,,,
7th Tradition,,,,,,$20.00,,,
Non-Monthly Expenses,$476.33,$476.33,$0.00,,,,,,
Credit Card Debt,$13.15,$13.15,$0.00,,,$0.00,,,
Medical Expenses,$227.29,$227.29,$0.00,,,$227.29,recurring iRhythm CC pmt,,
Gifts,$96.76,$96.76,$0.00,,,$40.00,,,
Heating Oil,,,,,,$0.00,,,
Home Maintenance,$139.13,$139.13,$0.00,,,$40.00,,,
Auto Maintenance,,,,,,$40.00,,,
Goals,$3.18,$3.18,$0.00,,,,,,
Baby,$3.18,$3.18,$0.00,,,$20.00,,,
,,,,,,,,,
,,,,,,,,,
Quality of Life,$90.10,$90.10,$0.00,,,,,,
Coffee,$37.81,$37.81,$0.00,,,$40.00,,,
Liana Spending Money + Gifts,$25.35,$25.35,$0.00,,,$80.00,,,
William Spending Money + Gifts,$0.00,$0.00,$0.00,,,$80.00,,,
William - Professional Development,$11.08,$11.08,$0.00,,,$45.00,,,
Entertainment,$15.86,$15.86,$0.00,,,$40.00,,,
,,,,,,,,,
,,Total Available,$0.00,,Total Target,"$3,690.78",,,
,,,,,,,,,
,,,,,,,"$1,913.16",,
,,,,,,,"$4,667.85",,
