Nov 2025,,,,Money to Assign,,$186.39,,,
CATEGORY,ASSIGNED,ACTIVITY,AVAILABLE,,DATE,TARGET,,Total Income,
Bills,"$2,019.87","$1,731.34",$288.53,,,,,"$4,046.28",
Liana Therapy/Couples Therapy,$20.00,$20.00,$0.00,,30th,$60.00,Carryover,865.95,
Liana Dental Insurance,$23.63,$23.63,$0.00,,30th,$35.53,Liana #1,654.99,
Spotify,,,,,23rd,$18.18,Wm bday money,500,
Cellphone,$143.53,$0.00,$143.53,,14th,$143.53,Money from Fred,116.63,<---- enter paycheck here
Liana Vision Insurance,,,,,10th,$12.39,William #1,1870.21,<---- enter paycheck here
Liana Apple Storage,$2.99,$2.99,$0.00,,4th,$2.99,Refund from Stork,38.5,<---- enter paycheck here
Liana Health Insurance,$361.52,$361.52,$0.00,,1st,$361.52,Income #7,,<---- enter paycheck here
William Apple Storage,$2.99,$2.99,$0.00,,19th,$2.99,Income #8,,<---- enter paycheck here
Life Insurance,,,,,30th,$46.12,Income #9,,<---- enter paycheck here
Fitness coaching/PT/Nutrition,$135.00,$50.00,$85.00,,29th,$220.00,,,
Student Loans,,,,,19th,$234.00,,,
Car Insurance,$140.93,$140.93,$0.00,,4th,$136.59,,,
Money Lion/Balance,,,,,1st,$11.53,,,
Mortgage,"$1,129.28","$1,129.28",$0.00,,5th,"$1,129.28",,,
William Therapy/Coaching,$60.00,$0.00,$60.00,,1st,$220.00,,,
Amazon Prime student,,,,,23rd,$8.01,,,
Electric,,,,,15th,$200.00,,,
Internet,,,,,12th,$57.70,,,
Monthly Expenses,$931.76,$670.12,$261.64,,,,,,
Pets,$100.00,$9.00,$91.00,,,$200.00,,,
Groceries,$400.00,$284.74,$115.26,,,$500.00,,,
Eating Out,$280.00,$228.29,$51.71,,,$200.00,,,
Transportation,$101.76,$101.76,$0.00,,,$200.00,,,
Clothes,,,,,,$40.00,,,
Personal Care,$50.00,$46.33,$3.67,,,$100.00,,,
7th Tradition,,,,,,$20.00,,,
Non-Monthly Expenses,$187.45,$51.15,$136.30,,,,,,
Credit Card Debt,,,,,,$0.00,,,
Medical Expenses,$187.45,$51.15,$136.30,,,$51.15,recurring iRhythm CC pmt,136.30 (hospital bill),
Gifts,,,,,,$40.00,,,
Heating Oil,,,,,,$0.00,,,
Home Maintenance,,,,,,$40.00,,,
Auto Maintenance,,,,,,$40.00,,,
Goals,$0.00,$0.00,$0.00,,,,,,
Baby,,,,,,$20.00,,,
,,,,,,,,,
,,,,,,,,,
Quality of Life,$720.81,$353.99,$366.82,,,,,,
Coffee,$40.00,$33.18,$6.82,,,$40.00,,,
Liana Spending Money + Gifts,$80.00,$0.00,$80.00,,,$80.00,,,
William Spending Money + Gifts,$583.00,$303.00,$280.00,,,$80.00,,,
William - Professional Development,$7.14,$7.14,$0.00,,,$45.00,,,
Entertainment,$10.67,$10.67,$0.00,,,$40.00,,,
,,,,,,,,,
,,Total Available,"$1,053.29",,Total Target,"$4,636.51",,,
,,,,,,,,,
,,,,,,,"$1,913.16",,
