Jul 2025,,,,Money to Assign,,$0.20,,,
CATEGORY,ASSIGNED,ACTIVITY,AVAILABLE,,DATE,TARGET,,Total Income,
Bills,"$2,286.08","$2,286.08",$0.00,,,,,"$4,862.96",
Liana Therapy/Couples Therapy,$40.00,$40.00,$0.00,,30th,$20.00,Income #1,1651.92,William #1
Liana Dental Insurance,$35.53,$35.53,$0.00,,30th,$35.53,Income #2,6.23,carryover
Spotify,$2.78,$2.78,$0.00,,23rd,$18.18,Income #3,220,Liana #1
Cellphone,$146.31,$146.31,$0.00,,14th,$150.55,Income #4,185,Wm parents
Liana Vision Insurance,$12.39,$12.39,$0.00,,10th,$12.39,Income #5,600,savings
Liana Apple Storage,$2.99,$2.99,$0.00,,4th,$2.99,Income #6,22.59,uChoose
Liana Health Insurance,$361.52,$361.52,$0.00,,1st,$361.52,Income #7,1651.93,William #1
William Apple Storage,$2.99,$2.99,$0.00,,19th,$2.99,Income #8,35.29,correction
Life Insurance,,,,,30th,$46.12,Income #9,400,Snoo
Tempo Fit,$20.87,$20.87,$0.00,,29th,$20.87,Income #9,90,Liana #2
Car Insurance,$136.60,$136.60,$0.00,,4th,$137.01,,,
Money Lion/Balance,$11.53,$11.53,$0.00,,1st,$11.53,,,
Mortgage,"$1,124.58","$1,124.58",$0.00,,5th,"$1,124.58",,,
William Therapy/Health Coaching,$150.00,$150.00,$0.00,,1st,$150.00,,,
Amazon Prime student,$8.01,$8.01,$0.00,,23rd,$8.01,,,
Electric,$172.28,$172.28,$0.00,,15th,$145.38,,,
Internet,$57.70,$57.70,$0.00,,12th,$57.70,,,
Monthly Expenses,"$1,246.85","$1,246.85",$0.00,,,,,,
Pets,$272.92,$272.92,$0.00,,,$150.00,,,
Groceries,$485.84,$485.84,$0.00,,,$400.00,,,
Eating Out,$333.92,$333.92,$0.00,,,$60.00,,,
Transportation,$147.17,$147.17,$0.00,,,$150.00,,,
Clothes,$7.00,$7.00,$0.00,,,$20.00,,,
Personal Care,,,,,,$50.00,,,
7th Tradition,,,,,,$20.00,,,
Non-Monthly Expenses,$594.26,$594.26,$0.00,,,,,,
Credit Card Debt,,,,,,$0.00,,,
Medical Expenses,$299.74,$299.74,$0.00,,,$50.00,,,
Gifts,,,,,,$0.00,,,
Heating Oil,,,,,,$150.00,,,
Home Maintenance,$294.52,$294.52,$0.00,,,$40.00,,,
Auto Maintenance,,,,,,$40.00,,,
Goals,$58.36,$58.36,$0.00,,,,,,
Baby,$58.36,$58.36,$0.00,,,$0.00,,,
,,,,,,,,,
,,,,,,,,,
Quality of Life,$677.21,$677.21,$0.00,,,,,,
Coffee,$19.63,$19.63,$0.00,,,$0.00,,,
Liana Spending Money + Gifts,$235.89,$235.89,$0.00,,,$40.00,,,
William Spending Money + Gifts,$291.91,$291.91,$0.00,,,$40.00,,,
William - Professional Development,$5.15,$5.15,$0.00,,,$0.00,,,
Entertainment,$124.63,$124.63,$0.00,,,$40.00,,,
,,,,,,,,,
,,Total Available,$0.00,,Total Target,"$3,555.35",,,
,,,,,,,,,
,,,,,,,"$1,913.16",,
