May 2025,,,,Money to Assign,,$104.86,,,
CATEGORY,ASSIGNED,ACTIVITY,AVAILABLE,,DATE,TARGET,,Total Income,
Bills,"$2,268.78","$2,268.78",$0.00,,,,,"$3,990.61",
Liana Therapy/Couples Therapy,$0.00,$0.00,$0.00,,30th,$20.00,Income #1,-8.28,carryover
Liana Dental Insurance,$35.53,$35.53,$0.00,,30th,$35.53,Income #2,1659.16,William #1
Spotify,$18.18,$18.18,$0.00,,23rd,$18.18,Income #3,277.78,Liana #1
Cellphone,$146.31,$146.31,$0.00,,14th,$150.55,Income #4,42.26,correction
Liana Vision Insurance,$12.39,$12.39,$0.00,,10th,$12.39,Income #5,277.78,Liana #2
Liana Apple Storage,$2.99,$2.99,$0.00,,4th,$2.99,Income #6,1651.91,William #2
Liana Health Insurance,$361.52,$361.52,$0.00,,1st,$361.52,Income #7,90,Liana deposit
William Apple Storage,$2.99,$2.99,$0.00,,19th,$2.99,Income #8,,<---- enter paycheck here
Life Insurance,$46.12,$46.12,$0.00,,30th,$46.12,Income #9,,<---- enter paycheck here
Smart Sales & Lease,$10.00,$10.00,$0.00,,15th,$10.00,,,
Car Insurance,$136.59,$136.59,$0.00,,4th,$137.01,,,
Money Lion/Balance,$4.37,$4.37,$0.00,,1st,$11.53,,,
Mortgage,"$1,124.58","$1,124.58",$0.00,,5th,"$1,124.58",,,
William Therapy/Health Coaching,$150.00,$150.00,$0.00,,1st,$150.00,,,
Amazon Prime student,$8.01,$8.01,$0.00,,23rd,$8.01,,,
Electric,$151.50,$151.50,$0.00,,15th,$145.38,,,
Internet,$57.70,$57.70,$0.00,,12th,$57.70,,,
Monthly Expenses,"$1,111.13","$1,111.13",$0.00,,,,,,
Pets,$40.00,$40.00,$0.00,,,$150.00,,,
Groceries,$559.04,$559.04,$0.00,,,$400.00,,,
Eating Out,$275.13,$275.13,$0.00,,,$60.00,,,
Transportation,$90.42,$90.42,$0.00,,,$150.00,,,
Clothes,$53.14,$53.14,$0.00,,,$20.00,,,
Personal Care,$93.40,$93.40,$0.00,,,$50.00,,,
7th Tradition,,,,,,$20.00,,,
Non-Monthly Expenses,$332.85,$332.85,$0.00,,,,,,
Credit Card Debt,,,,,,$0.00,,,
Medical Expenses,$125.06,$125.06,$0.00,,,$0.00,,,
Gifts,-$0.85,-$0.85,$0.00,,,$0.00,,,
Heating Oil,,,,,,$150.00,,,
Home Maintenance,,,,,,$40.00,,,
Auto Maintenance,$208.64,$208.64,$0.00,,,$40.00,,,
Goals,$30.22,$30.22,$0.00,,,,,,
Baby,$30.22,$30.22,$0.00,,,,,,
,,,,,,,,,
,,,,,,,,,
Quality of Life,$142.77,$113.18,$29.59,,,,,,
Coffee,$62.77,$33.18,$29.59,,,$0.00,,,
Liana Spending Money + Gifts,$40.00,$40.00,$0.00,,,$40.00,,,
William Spending Money + Gifts,$40.00,$40.00,$0.00,,,$40.00,,,
William - Professional Development,,,,,,$0.00,,,
Entertainment,,,,,,$40.00,,,
,,,,,,,,,
,,Total Available,$29.59,,Total Target,"$3,494.48",,,
,,,,,,,,,
,,,,,,,"$1,913.16",,
