Mar 2025,,,,Money to Assign,,-$25.08,,,
CATEGORY,ASSIGNED,ACTIVITY,AVAILABLE,,DATE,TARGET,,Total Income,
Bills,"$2,300.60","$2,300.60",$0.00,,,,,"$5,696.29",
Liana Therapy/Couples Therapy,,,,,30th,$20.00,Income #1,-61.07,Carryover
Liana Dental Insurance,,,,,30th,$35.53,Income #2,1000,savings transfer
Spotify,$18.18,$18.18,$0.00,,23rd,$18.18,Income #3,1659.16,William #1
Cellphone,$146.33,$146.33,$0.00,,14th,$150.55,Income #4,277.78,Liana #1
Liana Vision Insurance,$12.39,$12.39,$0.00,,10th,$12.39,Income #5,1659.17,William #2
Liana Apple Storage,$2.99,$2.99,$0.00,,4th,$2.99,Income #6,277.78,Liana #2
Liana Health Insurance,$267.94,$267.94,$0.00,,1st,$267.94,Income #7,669,Tax Return
William Apple Storage,$2.99,$2.99,$0.00,,19th,$2.99,Income #8,250,savings transfer
Life Insurance,$46.12,$46.12,$0.00,,30th,$46.12,Income #9,-35.53,correction
Smart Sales & Lease,$10.00,$10.00,$0.00,,15th,$10.00,,,
Peacock,$0.00,$0.00,$0.00,,17th,$2.13,,,
Car Insurance,$136.94,$136.94,$0.00,,4th,$137.01,,,
Money Lion/Balance,$11.53,$11.53,$0.00,,1st,$11.53,,,
Mortgage,"$1,124.58","$1,124.58",$0.00,,5th,"$1,124.58",,,
William Therapy/Health Coaching,$300.00,$300.00,$0.00,,1st,$150.00,,,
Amazon Prime student,$8.01,$8.01,$0.00,,23rd,$8.01,,,
Electric,$154.90,$154.90,$0.00,,15th,$145.38,,,
Internet,$57.70,$57.70,$0.00,,12th,$57.70,,,
Monthly Expenses,"$1,926.78","$1,926.78",$0.00,,,,,,
Pets,$150.18,$150.18,$0.00,,,$150.00,,,
Groceries,$757.37,$757.37,$0.00,,,$400.00,,,
Eating Out,$273.53,$273.53,$0.00,,,$60.00,,,
Transportation,$115.82,$115.82,$0.00,,,$150.00,,,
Clothes,$52.40,$52.40,$0.00,,,$20.00,,,
Personal Care,$557.48,$557.48,$0.00,,,$50.00,,,
7th Tradition,$20.00,$20.00,$0.00,,,$20.00,,,
Non-Monthly Expenses,$31.39,$31.39,$0.00,,,,,,
Credit Card Debt,,,,,,$0.00,,,
Medical Expenses,,,,,,$0.00,,,
Gifts,,,,,,$0.00,,,
Heating Oil,,,,,,$150.00,,,
Home Maintenance,$31.39,$31.39,$0.00,,,$40.00,,,
Auto Maintenance,,,,,,$40.00,,,
Goals,$988.89,$988.89,$0.00,,,,,,
Baby,$988.89,$988.89,$0.00,,,$21.39,,,
,,,,,,,,,
,,,,,,,,,
Quality of Life,$473.71,$433.71,$40.00,,,,,,
Coffee,$101.45,$101.45,$0.00,,,$0.00,,,
Liana Spending Money + Gifts,$40.00,$0.00,$40.00,,,$40.00,,,
William Spending Money + Gifts,$40.00,$40.00,$0.00,,,$40.00,,,
William - Professional Development,$178.14,$178.14,$0.00,,,$0.00,,,
Entertainment,$114.12,$114.12,$0.00,,,$40.00,,,
,,,,,,,,,
,,Total Available,$40.00,,Total Target,"$3,424.42",,,
,,,,,,,,,
,,,,,,,"$1,913.16",,
