Jan 2025,,,,Money to Assign,,$0.16,,,
CATEGORY,ASSIGNED,ACTIVITY,AVAILABLE,,DATE,TARGET,,Total Income,
Bills,"$2,322.15","$2,322.15",$0.00,,,,,"$4,312.51",
Liana Therapy/Couples Therapy,$30.00,$30.00,$0.00,,30th,$20.00,Income #1,1655.16,William #1
Liana Dental Insurance,$0.00,$0.00,$0.00,,25th,$35.53,Income #2,167.84,carryover
Spotify,$18.18,$18.18,$0.00,,23rd,$18.18,Income #3,277.78,Liana #2
Cellphone,$145.91,$145.91,$0.00,,14th,$150.55,Income #5,4.9,interest
Liana Vision Insurance,$12.39,$12.39,$0.00,,10th,$12.39,Income #6,1659.15,William #2
Liana Apple Storage,$0.00,$0.00,$0.00,,4th,$2.99,Income #7,515.02,School refund
Liana Health Insurance,$434.04,$434.04,$0.00,,1st,$434.04,,32.66,uChoose rewards
William Apple Storage,$2.99,$2.99,$0.00,,19th,$2.99,,,
Life Insurance,$46.12,$46.12,$0.00,,30th,$46.12,,,
Smart Sales & Lease,$10.00,$10.00,$0.00,,15th,$10.00,,,
Peacock,$2.13,$2.13,$0.00,,17th,$2.13,,,
Car Insurance,$137.02,$137.02,$0.00,,4th,$137.01,,,
Money Lion/Balance,$11.53,$11.53,$0.00,,1st,$11.53,,,
Mortgage,"$1,124.58","$1,124.58",$0.00,,5th,"$1,124.58",,,
William Therapy/Health Coaching,$150.00,$150.00,$0.00,,1st,$150.00,,,
Amazon Prime student,$8.01,$8.01,$0.00,,23rd,$8.01,,,
Electric,$131.55,$131.55,$0.00,,15th,$145.38,,,
Internet,$57.70,$57.70,$0.00,,12th,$57.70,,,
Monthly Expenses,"$1,237.80","$1,237.80",$0.00,,,,,,
Pets,$353.56,$353.56,$0.00,,,$150.00,,,
Groceries,$363.93,$363.93,$0.00,,,$400.00,,,
Eating Out,$344.74,$344.74,$0.00,,,$60.00,,,
Transportation,$57.39,$57.39,$0.00,,,$150.00,,,
Clothes,,,,,,$20.00,,,
Personal Care,$78.18,$78.18,$0.00,,,$50.00,,,
7th Tradition,$40.00,$40.00,$0.00,,,$20.00,,,
Non-Monthly Expenses,$60.55,$60.55,$0.00,,,,,,
Credit Card Debt,,,,,,$0.00,,,
Medical Expenses,,,,,,$0.00,,,
Gifts,$16.32,$16.32,$0.00,,,$0.00,,,
Heating Oil,,,,,,$150.00,,,
Home Maintenance,$44.23,$44.23,$0.00,,,$40.00,,,
Auto Maintenance,,,,,,$40.00,,,
Goals,$259.57,$259.57,$0.00,,,,,,
Baby,$259.57,$259.57,$0.00,,,,,,
,,,,,,,,,
,,,,,,,,,
Quality of Life,$432.28,$432.28,$0.00,,,,,,
Coffee,$18.58,$18.58,$0.00,,,$0.00,,,
Liana Spending Money + Gifts,$40.00,$40.00,$0.00,,,$40.00,,,
William Spending Money + Gifts,$80.00,$80.00,$0.00,,,$20.00,,,
William - Professional Development,$0.00,$0.00,$0.00,,,$20.00,,,
Entertainment,$293.70,$293.70,$0.00,,,$40.00,,,
,,,,,,,,,
,,Total Available,$0.00,,Total Target,"$3,569.13",,,
,,,,,,,,,
,,,,,,,"$1,913.16",,
