Sep 2025,,,,Money to Assign,,$370.13,,,
CATEGORY,ASSIGNED,ACTIVITY,AVAILABLE,,DATE,TARGET,,Total Income,
Bills,"$2,390.83","$2,390.83",$0.00,,,,,"$6,105.24",
Liana Therapy/Couples Therapy,$70.00,$70.00,$0.00,,30th,$60.00,Income #1,1651.91,William #1
Liana Dental Insurance,$22.38,$22.38,$0.00,,30th,$35.53,Income #2,200,Liana check
Spotify,$18.18,$18.18,$0.00,,23rd,$18.18,Income #3,118.39,correction
Cellphone,$146.28,$146.28,$0.00,,14th,$143.53,Income #4,500,transfer from savings
Liana Vision Insurance,$12.39,$12.39,$0.00,,10th,$12.39,Income #5,500.42,Liana #1
Liana Apple Storage,$2.99,$2.99,$0.00,,4th,$2.99,Income #6,143.5,Liana travel reimbursement
Liana Health Insurance,$361.52,$361.52,$0.00,,1st,$361.52,Income #7,1870.22,William #2
William Apple Storage,$2.99,$2.99,$0.00,,19th,$2.99,Income #8,7.97,Interest
Life Insurance,$0.00,$0.00,$0.00,,30th,$46.12,Income #9,95.53,website payment
Tempo Fit,$41.73,$41.73,$0.00,,29th,$41.73,Income #10,508.75,Liana #2
Car Insurance,$136.52,$136.52,$0.00,,4th,$136.59,Income #11,500,Savings transfer
Money Lion/Balance,$11.53,$11.53,$0.00,,1st,$11.53,Income #12,8.55,Amazon refund
Mortgage,"$1,129.28","$1,129.28",$0.00,,5th,"$1,129.28",,,
William Therapy/Health Coaching,$140.00,$140.00,$0.00,,1st,$140.00,,,
Amazon Prime student,$8.01,$8.01,$0.00,,23rd,$8.01,,,
Electric,$229.33,$229.33,$0.00,,15th,$145.38,,,
Internet,$57.70,$57.70,$0.00,,12th,$57.70,,,
Monthly Expenses,"$1,272.76","$1,272.76",$0.00,,,,,,
Pets,$124.21,$124.21,$0.00,,,$200.00,,,
Groceries,$655.15,$655.15,$0.00,,,$500.00,,,
Eating Out,$249.38,$249.38,$0.00,,,$200.00,,,
Transportation,$75.94,$75.94,$0.00,,,$200.00,,,
Clothes,$31.04,$31.04,$0.00,,,$40.00,,,
Personal Care,$137.04,$137.04,$0.00,,,$100.00,,,
7th Tradition,$0.00,$0.00,$0.00,,,$20.00,,,
Non-Monthly Expenses,"$1,839.89","$1,839.89",$0.00,,,,,,
Credit Card Debt,,,,,,$0.00,,,
Medical Expenses,$363.59,$363.59,$0.00,,,$227.29,recurring iRhythm CC pmt/Anesthesiologist,,
Gifts,$51.00,$51.00,$0.00,,,$40.00,,,
Heating Oil,,,,,,$0.00,,,
Home Maintenance,$503.91,$503.91,$0.00,,,$40.00,,,
Auto Maintenance,$921.39,$921.39,$0.00,,,$40.00,,,
Goals,$0.00,$0.00,$0.00,,,,,,
Baby,,,,,,$20.00,,,
,,,,,,,,,
,,,,,,,,,
Quality of Life,$236.65,$236.65,$0.00,,,,,,
Coffee,$36.68,$36.68,$0.00,,,$40.00,,,
Liana Spending Money + Gifts,$80.00,$80.00,$0.00,,,$80.00,,,
William Spending Money + Gifts,$80.00,$80.00,$0.00,,,$80.00,,,
William - Professional Development,$38.91,$38.91,$0.00,,,$45.00,,,
Entertainment,$1.06,$1.06,$0.00,,,$40.00,,,
,,,,,,,,,
,,Total Available,$0.00,,Total Target,"$4,265.76",,,
,,,,,,,,,
,,,,,,,"$1,913.16",,
