Apr 2025,,,,Money to Assign,,-$8.28,,,
CATEGORY,ASSIGNED,ACTIVITY,AVAILABLE,,DATE,TARGET,,Total Income,
Bills,"$2,253.11","$2,253.11",$0.00,,,,,"$4,175.79",
Liana Therapy/Couples Therapy,,,,,30th,$20.00,Income #1,14.92,carryover
Liana Dental Insurance,$35.53,$35.53,$0.00,,30th,$35.53,Income #2,1659.15,William #1
Spotify,$18.18,$18.18,$0.00,,23rd,$18.18,Income #3,277.78,Liana #1
Cellphone,$146.33,$146.33,$0.00,,14th,$150.55,Income #4,250,savings for graduation regalia
Liana Vision Insurance,$12.39,$12.39,$0.00,,10th,$12.39,Income #5,1659.16,William #2
Liana Apple Storage,$2.99,$2.99,$0.00,,4th,$2.99,Income #6,277.78,Liana #2
Liana Health Insurance,$361.52,$361.52,$0.00,,1st,$361.52,Income #7,37,NC state refund
William Apple Storage,$2.99,$2.99,$0.00,,19th,$2.99,Income #8,,<---- enter paycheck here
Life Insurance,$46.12,$46.12,$0.00,,30th,$46.12,Income #9,,<---- enter paycheck here
Smart Sales & Lease,$10.00,$10.00,$0.00,,15th,$10.00,,,
Car Insurance,$136.93,$136.93,$0.00,,4th,$137.01,,,
Money Lion/Balance,$11.53,$11.53,$0.00,,1st,$11.53,,,
Mortgage,"$1,124.58","$1,124.58",$0.00,,5th,"$1,124.58",,,
William Therapy/Health Coaching,$150.00,$150.00,$0.00,,1st,$150.00,,,
Amazon Prime student,$8.01,$8.01,$0.00,,23rd,$8.01,,,
Electric,$144.00,$144.00,$0.00,,15th,$145.38,,,
Internet,$42.01,$42.01,$0.00,,12th,$57.70,,,
Monthly Expenses,"$1,279.18","$1,279.18",$0.00,,,,,,
Pets,$137.33,$137.33,$0.00,,,$150.00,,,
Groceries,$393.60,$393.60,$0.00,,,$400.00,,,
Eating Out,$248.24,$248.24,$0.00,,,$60.00,,,
Transportation,$151.53,$151.53,$0.00,,,$150.00,,,
Clothes,$94.91,$94.91,$0.00,,,$20.00,,,
Personal Care,$233.57,$233.57,$0.00,,,$50.00,,,
7th Tradition,$20.00,$20.00,$0.00,,,$20.00,,,
Non-Monthly Expenses,$184.54,$184.54,$0.00,,,,,,
Credit Card Debt,,,,,,$0.00,,,
Medical Expenses,,,,,,$0.00,,,
Gifts,$33.79,$33.79,$0.00,,,$0.00,,,
Heating Oil,,,,,,$150.00,,,
Home Maintenance,$38.13,$38.13,$0.00,,,$40.00,,,
Auto Maintenance,$112.62,$112.62,$0.00,,,$40.00,,,
Goals,$21.39,$21.39,$0.00,,,,,,
Baby,$21.39,$21.39,$0.00,,,,,,
,,,,,,,,,
,,,,,,,,,
Quality of Life,$445.85,$445.85,$0.00,,,,,,
Coffee,$71.79,$71.79,$0.00,,,$0.00,,,
Liana Spending Money + Gifts,$327.66,$327.66,$0.00,,,$40.00,,,
William Spending Money + Gifts,$46.40,$46.40,$0.00,,,$40.00,,,
William - Professional Development,,,,,,$0.00,,,
Entertainment,,,,,,$40.00,,,
,,,,,,,,,
,,Total Available,$0.00,,Total Target,"$3,494.48",,,
,,,,,,,,,
,,,,,,,"$1,913.16",,
